surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
Zahourek,Gabrielle ,F,CU_6201345,95.88,55.009,04-22-18,Senior Sales Associate,,1.0,1,,A,A
Casalman,Herbert,M,CU_8404993,131.14,27.359,04-16-18,Assistant Manager,,1.0,1,,,A
Cuellar,Cayden ,M,CU_6438916,163.54,,09-24-18,Assistant Manager,,1.0,1,,,A
Stacker,Tony ,M,CU_3538950,124.73,62.977,12-28-18,Data Coordiator,1.0,1.0,1,,,A
Spaziani,Shirley,M,CU_1908743,180.61,34.278,04-20-18,,0.0,,1,,A,A
Stachura,Earnest,M,CU_6840327,105.97,44.142,03-04-18,Data Coordiator,0.0,1.0,1,,,A
Stoneberg,Edwardo,M,CU_2564105,112.59,31.892,04-20-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Gean,Alisha ,F,CU_2236423,121.04,64.426,08-12-18,Assistant Manager,1.0,1.0,1,,,A
Stinnett,Ramon,M,CU_6537227,223.24,54.21,06-20-18,,0.0,1.0,1,,A,A
Burrichter,Faye,F,CU_1908748,131.18,55.925,07-08-18,Senior Sales Associate,,1.0,1,,A,A
Penn,Theo,M,CU_6389774,171.39,54.831,04-05-18,,1.0,1.0,1,,A,A
Sawin,Terry,M,CU_6758415,150.54,,03-29-18,Senior Sales Associate,,1.0,1,,A,A
Bradley,Elva,F,CU_3235856,150.99,,03-16-18,Senior Sales Associate,0.0,1.0,1,,,A
Wearing,Ezra ,M,CU_7118865,190.83,44.538,09-04-18,Assistant Manager,0.0,1.0,2,,,C
Grzesiak,Sheldon,M,CU_5267474,111.42,52.798,08-21-18,Software Engineer IV,0.0,1.0,1,,,A
Kovaleski,Stephen ,M,CU_7979030,187.39,55.827,04-05-18,Software Engineer IV,0.0,1.0,1,,A,A
Lakin,Bruno,M,CU_8773654,139.42,,08-18-18,Assistant Manager,0.0,1.0,1,,A,A
Bault,Arnulfo,M,CU_1318935,56.05,79.983,11-17-18,Senior Sales Associate,,1.0,1,,,A
Cansler,Dudley,M,CU_7184409,307.44,39.223,04-18-18,Payment Adjustment Coordinator,0.0,1.0,1,,A,A
Strudwick,Cedric,M,CU_8142874,214.93,42.664,07-14-18,Sales Associate,,1.0,1,,A,A
Hollering,Lucius,M,CU_9461785,165.42,38.7,05-24-18,Design Engineer,0.0,1.0,1,,A,A
Brose,Wilson,M,CU_6799388,487.0,59.938,08-08-18,Software Engineer IV,,1.0,1,,A,A
Demarest,Deen ,M,CU_4243483,79.09,48.833,08-01-18,Librarian,1.0,1.0,1,,A,A
Dingwall,Ashley,F,CU_5431326,126.91,,08-24-18,,1.0,1.0,1,,A,A
Evensen,Bertha,F,CU_6004762,117.46,56.694,10-28-18,,0.0,1.0,1,,A,B
Buteaux,Koby ,M,CU_3358756,159.87,56.492,06-20-18,,0.0,1.0,1,,,A
Cruea,Weston,M,CU_5341220,93.14,,02-01-18,Safety Technician IV,0.0,,1,,,A
Sundahl,Ivory,M,CU_6987817,201.65,49.771,08-17-18,Computer Systems Analyst II,0.0,1.0,1,,,A
Abruzzo,Abbey ,F,CU_4014121,160.66,40.078,06-09-18,Payment Adjustment Coordinator,0.0,,1,,A,A
Hattori,Anoushka ,F,CU_6021163,304.97,,05-10-18,Senior Sales Associate,0.0,1.0,1,,A,A
Lumsden,Serena,F,CU_5210156,145.8,36.951,08-18-18,Payment Adjustment Coordinator,0.0,1.0,1,,,A
Jamie,Damon ,M,CU_8314925,132.59,,03-28-18,Software Engineer IV,1.0,,1,,A,A
Kerfien,Aron,M,CU_1597483,127.58,31.061,05-12-18,Software Engineer IV,1.0,1.0,1,,A,A
Mainville,Jonas ,M,CU_6094891,111.06,35.991,02-02-18,Data Coordiator,,1.0,1,,A,A
Spada,Alfie-Lee ,M,CU_4251696,133.35,44.146,01-13-18,Computer Systems Analyst II,1.0,1.0,1,,,A
Kurzinski,Leia ,F,CU_3448879,195.96,53.591,11-03-18,,,1.0,1,,A,A
