,surname,forename,gender,id,balance,age,start,profession,online,single num,weight_num,null,single cat,weight_cat
0,Kushiner,Crystal ,F,CU_6461441,125.75,53.807,08-31-18,Help Desk Operator,0,1.0,1,,,A
1,Cudney,Angelo,M,CU_6688771,613.32,,02-22-18,Analyst Programmer,0,1.0,1,,A,A
2,Reill,Logan ,M,CU_5998596,125.9,52.901,12-02-18,Help Desk Operator,0,1.0,1,,A,A
3,Marmon,Tammi,F,CU_4317188,177.57,59.977,06-04-18,,0,1.0,1,,,A
4,Bellafiore,Vito,M,CU_5677060,197.9,,07-26-18,Senior Editor,0,1.0,1,,A,A
5,Alliston,Caio ,M,CU_1861640,146.7,51.16,12-24-18,Senior Sales Associate,0,1.0,1,,,A
6,Wiggett,Emmanuella ,F,CU_4726794,228.06,50.576,06-08-18,Human Resources Manager,1,1.0,1,,A,A
7,Warens,Kathleen,F,CU_7462922,205.83,49.408,06-30-18,,0,1.0,1,,A,A
8,Hoge,Fraser ,M,CU_8617994,157.81,31.895,09-24-18,Senior Sales Associate,0,1.0,1,,A,A
9,Holsey,Jeremiah ,M,CU_2068493,175.51,,11-26-18,Research Assistant III,0,,1,,A,A
10,Digness,Ioan ,M,CU_6047757,305.0,59.956,06-12-18,Research Assistant III,0,1.0,1,,A,A
11,Formey,Elif ,F,CU_9883663,155.34,35.179,12-29-18,Senior Sales Associate,0,1.0,1,,,A
12,Jozwick,Quinton,M,CU_9115670,96.19,36.154,07-19-18,Senior Sales Associate,0,1.0,1,,,A
13,Matsuura,Wilson ,M,CU_3645465,230.99,,01-14-18,Senior Sales Associate,0,1.0,2,,A,C
14,Outler,Francisco,M,CU_6340638,127.58,73.849,10-12-18,,0,,1,,A,A
15,Fons,Domingo,M,CU_6307874,103.57,61.18,10-22-18,,0,1.0,1,,A,A
16,Frieden,Shaun,M,CU_1988642,209.03,50.622,12-04-18,Information Systems Manager,0,1.0,1,,A,A
17,Cooper,Kristin,F,CU_1167395,398.94,28.083,02-22-18,Senior Sales Associate,1,1.0,1,,A,A
18,Gloss,Chung,M,CU_9064485,219.44,53.526,02-19-18,Senior Editor,0,1.0,1,,A,A
19,Garber,Cai ,M,CU_6961186,150.14,38.535,04-07-18,,0,1.0,1,,A,A
20,Wencl,Emmanuel ,M,CU_5566504,123.7,62.634,12-04-18,Senior Sales Associate,0,1.0,1,,,A
21,Darras,Hassan,M,CU_2797608,305.53,,05-05-18,Assistant Professor,1,1.0,1,,,A
22,Godert,Adolph,M,CU_4790315,124.55,39.554,10-08-18,Senior Editor,0,1.0,1,,A,A
23,Serenil,Latoya,F,CU_2730029,239.3,54.453,06-17-18,Human Resources Manager,1,1.0,1,,,A
24,Stare,Safiyah ,F,CU_5451824,163.97,47.403,12-26-18,Senior Editor,0,1.0,1,,A,B
25,Strothmann,Jeri,F,CU_1755185,161.11,50.035,08-02-18,Senior Editor,1,1.0,1,,,A
26,Hosse,Cordelia ,F,CU_7856176,213.11,40.876,03-06-18,,1,1.0,1,,A,A
27,Bittle,Faisal ,M,CU_7268403,122.02,72.086,03-20-18,Office Assistant II,0,1.0,1,,A,A
28,Mcanulty,Bonnie,F,CU_4579380,323.26,36.345,12-03-18,,0,1.0,1,,A,A
29,Aceuedo,Carlo,M,CU_4038709,134.84,,07-10-18,Human Resources Manager,0,1.0,1,,,A
30,Volpi,Ayla ,F,CU_7112755,163.86,,05-24-18,Senior Sales Associate,0,,1,,A,A
31,Hoepfner,Mustafa ,M,CU_7669815,171.48,47.886,01-12-18,Office Assistant II,0,1.0,1,,,A
32,Doxtator,Ahmed ,M,CU_6780983,345.83,23.592,08-31-18,Research Assistant III,0,1.0,1,,A,A
33,Diez,Payton ,F,CU_3932217,93.92,46.777,09-21-18,Senior Sales Associate,0,,1,,,A
34,Rosetta,Ashley ,M,CU_4005941,209.1,,03-24-18,Senior Sales Associate,1,1.0,1,,,A
35,Aurelia,Maisie ,F,CU_6932539,186.92,48.283,04-18-18,Research Assistant III,0,,1,,A,A
36,Wojdak,Lawerence,M,CU_3975231,143.24,46.738,02-04-18,Assistant Professor,1,1.0,1,,A,A
37,Sanks,Tristan ,M,CU_6148159,127.82,35.461,10-26-18,Senior Sales Associate,0,1.0,1,,A,A
38,Jageman,Scarlett-Rose ,F,CU_6912065,172.65,20.692,11-18-18,Senior Sales Associate,0,1.0,1,,,A
39,Cruey,Krisha ,F,CU_3780672,438.85,57.813,06-13-18,Senior Sales Associate,0,1.0,1,,,A
40,Bielski,Jeannie,F,CU_7682115,229.6,57.598,12-06-18,Senior Sales Associate,0,,1,,A,A
41,Wasielewski,Janell,F,CU_8001605,58.26,41.211,12-22-18,,0,1.0,1,,A,A
42,Guethle,Stella,F,CU_5181511,225.17,22.221,07-26-18,Senior Editor,1,1.0,1,,,A
43,Brunker,Alisha,F,CU_4999239,92.0,35.571,12-29-18,Senior Sales Associate,0,1.0,1,,,A
44,Riederer,Yusuf ,M,CU_4485195,112.12,55.867,11-20-18,Senior Editor,0,1.0,1,,,A
45,Sartain,Ernest ,M,CU_9881678,129.48,28.551,02-06-18,Senior Editor,0,1.0,1,,,A
46,Shiraishi,Graham,M,CU_6465615,293.18,55.367,03-02-18,,0,1.0,1,,,A
47,Mazzeo,Andres,M,CU_1556560,199.73,56.442,08-10-18,Sales Associate,0,,1,,A,A
48,Chinskey,Buck,M,CU_8992851,134.34,,04-09-18,Junior Executive,0,1.0,1,,,A
49,Makinson,Benedict ,M,CU_7256149,151.12,43.059,11-01-18,Office Assistant II,0,1.0,1,,,A
50,Bonini,Eden ,F,CU_3776601,131.48,36.545,01-06-18,Senior Sales Associate,1,1.0,1,,A,A
51,Bambrick,Franciszek ,M,CU_1327194,270.33,42.095,07-13-18,Human Resources Assistant IV,0,,1,,,A
52,Sunderland,Devon,M,CU_7729243,144.58,59.981,04-28-18,Senior Sales Associate,1,1.0,1,,,A
53,Schut,Anita ,F,CU_9240667,161.1,47.136,10-15-18,Senior Editor,0,1.0,1,,A,A
54,Bonjour,Amalia,F,CU_2893917,232.28,39.54,04-30-18,Senior Sales Associate,0,1.0,1,,A,A
55,Villines,Adrienne,F,CU_5015641,120.0,56.377,06-15-18,Sales Associate,0,1.0,1,,A,A
56,Ferrell,William ,M,CU_1251423,112.39,59.044,07-06-18,Senior Sales Associate,0,,1,,A,A
57,Jeancy,Ayoub ,M,CU_6180957,130.11,55.106,07-12-18,Office Assistant II,1,1.0,1,,,A
58,Gallups,Jak ,M,CU_9232485,40.21,42.931,07-09-18,Senior Editor,0,1.0,1,,,A
59,Rials,Willian,M,CU_3446886,141.31,,01-27-18,,0,1.0,1,,,A
60,Offerman,Shannon,F,CU_4790373,169.99,44.962,01-11-18,Director of Sales,0,1.0,1,,A,A
61,Zumstein,Lorene,F,CU_8869993,691.46,38.349,12-25-18,Senior Sales Associate,0,1.0,1,,,A
62,Bordon,Carly ,F,CU_8644715,112.53,,07-14-18,Senior Sales Associate,0,1.0,1,,,A
63,Dalmata,Bennie,M,CU_1804396,122.44,20.053,12-05-18,Senior Sales Associate,1,1.0,1,,,A
64,Zummo,Nadine,F,CU_4366445,150.04,24.079,08-09-18,Senior Editor,0,1.0,1,,A,A
65,Kukene,Zayn ,M,CU_4651122,133.72,,12-13-18,Senior Editor,0,1.0,1,,A,A
66,Sundby,Yusef ,M,CU_1796213,125.97,,12-19-18,Office Assistant II,0,1.0,1,,A,A
67,Weatherly,Cornelia,F,CU_6764663,155.05,37.853,01-09-18,,0,1.0,1,,,A
68,Viscia,Winston,M,CU_8388729,158.05,53.423,05-24-18,Senior Sales Associate,0,,1,,A,A
69,Rybka,Nita,F,CU_9506938,181.71,27.337,04-24-18,Assistant Professor,0,1.0,1,,,A
70,Tilleman,Digby ,M,CU_3436667,283.84,63.778,01-12-18,Human Resources Manager,0,1.0,1,,A,A
71,Sperberg,Riley-James ,M,CU_2699388,134.32,26.198,01-29-18,Senior Sales Associate,1,1.0,1,,A,A
72,Kight,Rajveer ,M,CU_5429373,129.59,24.289,10-14-18,Information Systems Manager,0,1.0,1,,A,A
73,Konwinski,Mina ,F,CU_9560194,178.52,58.108,05-28-18,VP Product Management,0,1.0,1,,A,A
74,Desort,Hamish ,M,CU_5034115,220.86,66.49,12-08-18,Senior Editor,0,1.0,1,,A,A
75,Leisher,Heath ,M,CU_9117827,169.69,40.108,11-12-18,VP Product Management,0,1.0,1,,A,A
76,Fulmore,Olen,M,CU_2494598,172.86,27.06,04-26-18,VP Product Management,0,1.0,1,,A,A
77,Haven,Tammy,F,CU_1065095,105.4,31.024,01-17-18,Office Assistant II,0,,1,,A,A
78,Howryla,Lou,F,CU_4921482,124.06,43.638,07-01-18,Senior Editor,0,1.0,1,,,A
79,Jadin,Kamran ,M,CU_9592971,122.43,56.636,06-26-18,Help Desk Operator,0,1.0,1,,A,A
80,Kvamme,Dewayne,M,CU_2302090,54.05,,12-14-18,Senior Editor,0,,1,,A,A
81,Mcgrone,Cletus,M,CU_3539086,634.71,,04-18-18,Office Assistant II,1,1.0,1,,A,A
82,Jurin,Alphonso,M,CU_7436431,148.85,46.247,07-01-18,Help Desk Operator,0,1.0,1,,A,A
83,Massimo,Jerrod,M,CU_3508368,220.93,52.969,03-27-18,Senior Editor,0,,1,,A,A
84,Mistrot,Jodie,F,CU_2535570,170.93,54.403,08-18-18,,0,1.0,1,,A,A
85,Wallor,Lonnie,M,CU_5109908,106.83,27.459,09-09-18,Help Desk Operator,0,,1,,A,A
86,Vancise,Anibal,M,CU_6138005,134.56,27.49,07-27-18,Human Resources Assistant IV,0,1.0,1,,A,A
87,Bayless,Ulysses,M,CU_2961558,163.85,62.379,09-18-18,Information Systems Manager,0,1.0,1,,A,A
88,Loatman,Kip,M,CU_9433238,154.1,36.006,11-03-18,Data Coordiator,0,1.0,1,,,A
89,Heddlesten,Sam,M,CU_6576281,220.92,47.237,09-03-18,Research Assistant III,0,1.0,1,,A,A
90,Krivak,Aminah ,F,CU_3182746,170.01,57.441,01-17-18,Help Desk Operator,1,,1,,A,A
91,Packard,Mathew ,M,CU_9175194,118.17,65.261,09-30-18,Senior Editor,0,1.0,1,,,A
92,Neidert,Marquis,M,CU_7368860,175.94,21.558,05-28-18,Senior Sales Associate,0,1.0,1,,A,A
